station_id,station_name,Latitude,Longitude,Elevation,Country
41571,Islamabad Airport,33.617,72.816,508.0,Pakistan
41598,Jhelum,32.933,73.733,287.0,Pakistan
41678,Bahawalnagar,29.917,73.25,167.0,Pakistan
41697,Sibi,29.55,67.867,133.0,Pakistan
41700,Bahawalpur,29.35,71.683,110.0,Pakistan
41710,Nokkundi,28.817,62.767,682.0,Pakistan
41725,Rohri,27.683,68.9,66.0,Pakistan
41749,Nawabshah,26.25,68.367,37.0,Pakistan
41756,Jiwani,25.067,61.75,31.0,Pakistan
41759,Pasni,25.267,63.467,8.0,Pakistan
41780,Karachi Airport,24.9,67.133,22.0,Pakistan
41785,Badin,24.65,68.85,12.0,Pakistan
42101,Patiala,30.333,76.867,250.0,India
42123,Ganganagar,29.917,73.917,178.0,India
42131,Hissar,29.167,75.717,215.0,India
42143,Najibabad,29.383,78.317,294.0,India
42191,Mukteshwar,29.47,79.65,2311.0,India
42182,New Delhi,28.583,77.2,216.0,India
42165,Bikaner,28.0,73.317,234.0,India
42328,Jaisalmer,26.9,70.9,225.0,India
42339,Jodhpur,26.3,73.017,224.0,India
42361,Gwalior,26.233,78.25,211.0,India
42368,Lucknow,26.75,80.883,111.0,India
42379,Gorakhpur,26.75,83.367,84.0,India
42309,North Lakhimpur,27.217,94.1,101.0,India
42410,Gauhati,26.117,91.583,54.0,India
42451,Shillong,25.57,91.88,1598.0,India
42492,Patna,25.6,85.1,60.0,India
42543,Sawai Madhopur,26.033,76.367,266.0,India
42571,Satna,24.567,80.833,316.0,India
42623,Imphal Tulihal,24.767,93.9,786.0,India
42634,Bhuj-Rudramata,23.25,69.667,32.0,India
42647,Ahmadabad,23.067,72.633,55.0,India
42667,Bhopal/Bairagarh,23.283,77.333,523.0,India
42675,Jabalpur,23.167,79.95,394.0,India
42701,M.O.Ranchi,23.317,85.317,651.0,India
42737,Rajkot,22.317,70.783,134.0,India
42754,Indore,22.717,75.8,567.0,India
42779,Pendra Road,22.633,81.917,625.0,India
42809,Kolkata,22.65,88.45,6.0,India
42838,Bhaunagar,21.767,72.183,7.0,India
42867,Nagpur,21.1,79.05,310.0,India
42876,Durg,21.183,81.283,299.0,India
42886,Jharsuguda,21.917,84.05,228.0,India
42895,Balasore,21.483,86.933,21.0,India
42909,Veraval,20.9,70.367,10.0,India
42923,Surat,21.2,72.84,13.0,India
42971,Bhubaneswar,20.25,85.833,45.0,India
43003,Mumbai/Santacruz,19.117,72.85,14.0,India
43014,Aurangabad Chikalthan Aerodrome,19.85,75.4,586.0,India
43041,Jagdalpur,19.067,82.033,553.0,India
43086,Ramgundam,18.8,79.467,153.0,India
43069,Baramati,18.15,74.583,546.0,India
43083,Medak,17.933,78.083,462.0,India
43110,Ratnagiri,17.0,73.317,8.0,India
43128,Hyderabad,17.45,78.467,545.0,India
43149,Vishakhapatnam,17.717,83.233,3.0,India
43185,Machilipatnam,16.167,81.133,3.0,India
43201,Gadag,15.417,75.617,666.0,India
43213,Kurnool,15.85,78.067,317.0,India
43233,Chitradurja,14.233,76.633,762.0,India
43245,Nellore,14.45,79.983,23.0,India
43283,Cuddalore,11.75,79.75,6.0,India
43279,Cjennai,13.0,80.183,16.0,India
43314,Kozhikode,11.25,75.783,5.0,India
43311,Amini Divi,11.117,72.733,3.0,India
43328,Jaisalmer,26.9,70.9,225.0,India
43351,Kavaratti,10.57,72.64,2.0,India
43369,Minicoy,8.3,73.033,2.0,India
43333,Agatti Island,10.83,72.18,4.0,India
43371,Thiruvananthapuram,8.483,76.95,64.0,India
43363,PAmban,9.283,79.2,3.0,India
43361,Tondi,9.767,79.05,3.0,India
43344,TIruchchirapalli,10.767,78.717,88.0,India
43347,Nagappttinam,10.767,79.833,6.0,India
41850,Tetulia Panchagor,26.333,88.517,19.0,Bangladesh
41883,Bogra,24.85,89.367,18.0,Bangladesh
41886,Mymensingh,24.75,90.4,19.0,Bangladesh
41895,Rajshahi,24.367,88.7,20.0,Bangladesh
41909,Tangali,24.25,89.917,12.0,Bangladesh
41943,Feni,23.0,91.4,8.0,Bangladesh
41992,"Cox,S Bazar",21.45,91.967,3.0,Bangladesh
